ERROR 2021-11-11 15:01:10,033 exception 135742 140042533840640 Invalid HTTP_HOST header: 'localhost.localdomain:8000'. You may need to add 'localhost.localdomain' to ALLOWED_HOSTS.
WARNING 2021-11-11 15:01:10,154 log 135742 140042533840640 Bad Request: /
WARNING 2021-11-11 15:01:10,154 basehttp 135742 140042533840640 "HEAD / HTTP/1.0" 400 63142
WARNING 2021-11-11 15:01:10,759 log 135742 140042533840640 Not Found: /system_api.php
WARNING 2021-11-11 15:01:10,760 basehttp 135742 140042533840640 "GET /system_api.php HTTP/1.1" 404 2196
WARNING 2021-11-11 15:01:13,070 log 135742 140042533840640 Not Found: /c/version.js
WARNING 2021-11-11 15:01:13,071 basehttp 135742 140042533840640 "GET /c/version.js HTTP/1.1" 404 2190
WARNING 2021-11-11 15:01:15,773 log 135742 140042533840640 Not Found: /streaming/clients_live.php
WARNING 2021-11-11 15:01:15,774 basehttp 135742 140042533840640 "GET /streaming/clients_live.php HTTP/1.1" 404 2232
WARNING 2021-11-11 15:01:18,109 log 135742 140042533840640 Not Found: /stalker_portal/c/version.js
WARNING 2021-11-11 15:01:18,110 basehttp 135742 140042533840640 "GET /stalker_portal/c/version.js HTTP/1.1" 404 2235
WARNING 2021-11-11 15:01:20,388 log 135742 140042533840640 Not Found: /stream/live.php
WARNING 2021-11-11 15:01:20,389 basehttp 135742 140042533840640 "GET /stream/live.php HTTP/1.1" 404 2199
WARNING 2021-11-11 15:01:22,648 log 135742 140042533840640 Not Found: /flu/403.html
WARNING 2021-11-11 15:01:22,649 basehttp 135742 140042533840640 "GET /flu/403.html HTTP/1.1" 404 2190
WARNING 2021-11-11 15:01:25,114 log 135742 140042533840640 Not Found: /gemini-iptv/vod.json
WARNING 2021-11-11 15:01:25,114 basehttp 135742 140042533840640 "GET /gemini-iptv/vod.json HTTP/1.1" 404 2214
WARNING 2021-11-11 15:01:25,871 log 135742 140042533840640 Not Found: /gemini-iptv/get_prc.php
WARNING 2021-11-11 15:01:25,872 basehttp 135742 140042533840640 "GET /gemini-iptv/get_prc.php HTTP/1.1" 404 2223
