Date,WO,Formatted WO,KK,Machine,Customer,Product Type,s_or_g,tebal,panjang,lebar,"Order
(Pcs)",Finished Goods (Pcs),Finished Goods (Kg),berat,"Scrap
(Kg)","Waste
(Kg)",DL Std,"Effective Hours
(H)",Down Time produksi,DT Teknik,Capacity/Out Put Std (Kg/H),Equipment Earn Hour,"Machine
Eff",Production Eff,"Material
Eff",OEE,DL Earn Hour
11/04/2021,50,0050,WO2.210050,OM 2500,MPZ/LTD,IMPRABOARD,N,2.00,650.00,470.00,8100.00,8400.00,769.70,0.091630952,187.00,0.30,3.00,2.86,0.48,             -  ,300.00,2.57,0.86,0.90,0.80,0.62,7.70
10/01/2021,5,0005,WO1.210005,OM 2000,KREASI DASATAMA,IMPRABOARD,N,2.00,750.00,500.00,1500.00,1520.00,221.50,0.145723684,492.50,0.20,3.00,0.82,1.50,0.25,275.00,0.81,0.32,0.98,0.31,0.10,2.42
07/01/2021,4,0004,WO1.210004,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,500.00,2700.00,3150.00,586.40,0.186158730,29.40,0.20,3.00,2.20,0.00,0.00,275.00,2.13,1.00,0.97,0.95,0.92,6.40
27/03/2021,176,0176,WO1.210176,OM 2000,KREASI DASATAMA,IMPRABOARD,N,2.00,3000.00,500.00,500.00,500.00,1156.30,2.312600000,195.00,0.70,3.00,4.33,0.05,             -  ,275.00,4.20,0.99,0.97,0.86,0.82,12.61
27/02/2021,32,0032,WO2.210032,OM 2500,MULFORD,IMPRABOARD,N,2.00,4000.00,600.00,600.00,600.00,510.60,0.851000000,135.20,0.50,6.00,1.84,0.25,             -  ,320.00,1.60,0.88,0.87,0.79,0.60,9.57
10/04/2021,50,0050,WO2.210050,OM 2500,MPZ/LTD,IMPRABOARD,N,2.00,4000.00,600.00,600.00,600.00,510.70,0.851166667,124.00,0.50,3.00,1.71,             -  ,             -  ,300.00,1.70,1.00,1.00,0.80,0.80,5.11
17/01/2021,29,0029,WO1.210029,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,36450.00,9000.00,2180.30,0.242255556,651.90,0.50,6.00,8.31,1.86,0.00,275.00,7.93,0.82,0.95,0.77,0.60,47.57
18/01/2021,29,0029,WO1.210029,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,0.00,24100.00,5851.90,0.242817427,869.70,1.30,9.00,22.52,1.46,0.00,275.00,21.28,0.94,0.94,0.87,0.77,191.52
19/01/2021,29,0029,WO1.210029,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,0.00,3950.00,955.50,0.241898734,530.00,0.50,3.00,3.68,2.00,0.00,275.00,3.47,0.65,0.95,0.64,0.39,10.42
10/02/2021,89,0089,WO1.210089,OM 2000,HARTONO,IMPRABOARD,N,2.00,980.00,650.00,6400.00,6500.00,1573.10,0.242015385,530.90,0.50,6.00,6.05,1.28,             -  ,275.00,5.72,0.82,0.95,0.75,0.58,34.32
07/03/2021,132,0132,WO1.210132,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,30000.00,6900.00,1686.20,0.244376812,447.10,0.30,3.00,6.46,0.62,             -  ,275.00,6.13,0.91,0.95,0.79,0.68,18.39
08/03/2021,132,0132,WO1.210132,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,                -  ,22700.00,5547.00,0.244361233,1027.40,1.80,3.00,21.25,2.75,             -  ,275.00,20.17,0.89,0.95,0.84,0.71,60.51
09/03/2021,132,0132,WO1.210132,OM 2000,HIT,IMPRABOARD,N,2.00,980.00,650.00,                -  ,570.00,139.30,0.244385965,210.90,0.40,3.00,0.53,             -  ,             -  ,275.00,0.51,1.00,0.95,0.40,0.38,1.52
23/05/2021,257,0257,WO1.210257,OM 2500,KREASI DASATAMA,IMPRABOARD,N,2.00,980.00,650.00,35000.00,19200.00,4647.00,0.242031250,352.30,2.80,3.00,18.60,1.38,             -  ,300.00,15.49,0.93,0.83,0.93,0.72,42.29
24/05/2021,257,0257,WO1.210257,OM 2500,KREASI DASATAMA,IMPRABOARD,N,2.00,980.00,650.00,                -  ,15900.00,3848.30,0.242031447,553.45,1.30,3.00,14.75,6.39,             -  ,300.00,12.83,0.70,0.87,0.87,0.53,35.03
07/01/2021,4,0004,WO1.210004,OM 2000,HIT,IMPRABOARD,N,2.00,1080.00,680.00,2800.00,2850.00,735.50,0.258070175,236.90,0.80,6.00,2.67,1.26,0.00,275.00,2.67,0.68,1.00,0.76,0.52,16.05
