kk,kode,bahan,qty
WOL21H0001,BTXSCRAPBL,SCRAP TRY BLUE,"535,00"
WOL21H0001,NX01RSST65,PVC RESIN SATOMO K-65,"5.350,00"
WOL21H0001,NX11SPC15C,CACO3 SPC-15 C SUPERSONIC,"5.350,00"
WOL21H0001,NX77RSB***,ADDITIVE ALD RS BLUE,"1.281,33"
WOL21H0002,BTXSCRAPBL,SCRAP TRY BLUE,"275,00"
WOL21H0002,NX01RSST65,PVC RESIN SATOMO K-65,"2.750,00"
WOL21H0002,NX11SPC15C,CACO3 SPC-15 C SUPERSONIC,"2.750,00"
WOL21H0002,NX77RSB***,ADDITIVE ALD RS BLUE,"658,63"
WOL21H0003,BTXSCRATCW,SCRAP TRY TC WHITE,"760,00"
WOL21H0003,NX01RSAS65,PVC RESIN ASNYL FJ-65 R,"15.200,00"
WOL21H0003,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"11.400,00"
WOL21H0003,NX77R830W*,ADDITIVE ALD R 830 WHITE,"3.055,81"
WOL21H0004,BTXSCRAPWH,SCRAP TRY WHITE,"3.700,00"
WOL21H0004,BTXSCRATCW,SCRAP TRY TC WHITE,"925,00"
WOL21H0004,NX01RSST65,PVC RESIN SATOMO K-65,"18.500,00"
WOL21H0004,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"13.875,00"
WOL21H0004,NX77R830W*,ADDITIVE ALD R 830 WHITE,"3.719,24"
WOL21H0005,BTXSCRAPWH,SCRAP TRY WHITE,"2.320,00"
WOL21H0005,NX01RSST65,PVC RESIN SATOMO K-65,"23.200,00"
WOL21H0005,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"11.600,00"
WOL21H0005,NX77IDW***,ADDITIVE ALD ID WHITE,"4.965,96"
WOL21H0006,NX01RSST65,PVC RESIN SATOMO K-65,"12.700,00"
WOL21H0006,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"6.350,00"
WOL21H0006,NX77IDW***,ADDITIVE ALD ID WHITE,"2.464,44"
WOL21H0007,BTXSCRAPWH,SCRAP TRY WHITE,"1.380,00"
WOL21H0007,BTXSCRATCW,SCRAP TRY TC WHITE,"690,00"
WOL21H0007,NX01RSAS65,PVC RESIN ASNYL FJ-65 R,"13.800,00"
WOL21H0007,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"10.350,00"
WOL21H0007,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.774,35"
WOL21H0008,BTXSCRAPWH,SCRAP TRY WHITE,"2.900,00"
WOL21H0008,BTXSCRATCW,SCRAP TRY TC WHITE,"725,00"
WOL21H0008,NX01RSST65,PVC RESIN SATOMO K-65,"14.500,00"
WOL21H0008,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"10.875,00"
WOL21H0008,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.915,08"
WOL21H0009,BTXSCRAPWH,SCRAP TRY WHITE,"1.140,00"
WOL21H0009,BTXSCRATCW,SCRAP TRY TC WHITE,"570,00"
WOL21H0009,NX01RSST65,PVC RESIN SATOMO K-65,"11.400,00"
WOL21H0009,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"8.550,00"
WOL21H0009,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.291,86"
WOL21H0010,BTXSCRAPBL,SCRAP TRY BLUE,"45,00"
WOL21H0010,NX01RSST65,PVC RESIN SATOMO K-65,"900,00"
WOL21H0010,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"450,00"
WOL21H0010,NX77IDB***,ADDITIVE ALD ID BLUE,"170,55"
WOL21H0011,BTXSCRAPWH,SCRAP TRY WHITE,"90,00"
WOL21H0011,BTXSCRPGRB,SCRAP TRY GRADE B,"18,00"
WOL21H0011,NX01RSST65,PVC RESIN SATOMO K-65,"900,00"
WOL21H0011,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"450,00"
WOL21H0011,NX77IDW***,ADDITIVE ALD ID WHITE,"192,65"
WOL21H0012,BTXSCRAPWH,SCRAP TRY WHITE,"1.245,00"
WOL21H0012,BTXSCRPGRB,SCRAP TRY GRADE B,"166,00"
WOL21H0012,NX01RSST65,PVC RESIN SATOMO K-65,"8.300,00"
WOL21H0012,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"4.150,00"
WOL21H0012,NX77IDW***,ADDITIVE ALD ID WHITE,"1.776,62"
WOL21H0013,BTXSCRAPWH,SCRAP TRY WHITE,"995,00"
WOL21H0013,NX01RSST65,PVC RESIN SATOMO K-65,"9.950,00"
WOL21H0013,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.950,00"
WOL21H0013,NX77RSW***,ADDITIVE ALD RS WHITE,"2.328,30"
WOL21H0014,BTXSCRAPWH,SCRAP TRY WHITE,"2.205,00"
WOL21H0014,BTXSCRATCW,SCRAP TRY TC WHITE,"735,00"
WOL21H0014,BTXSCRPGRB,SCRAP TRY GRADE B,"294,00"
WOL21H0014,NX01RSST65,PVC RESIN SATOMO K-65,"14.700,00"
WOL21H0014,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"11.025,00"
WOL21H0014,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.955,29"
WOL21H0015,NX01RSST65,PVC RESIN SATOMO K-65,"10.000,00"
WOL21H0015,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"5.000,00"
WOL21H0015,NX77IDG***,ADDITIVE ALD ID GREY,"1.843,00"
WOL21H0016,NX01RSST65,PVC RESIN SATOMO K-65,"8.200,00"
WOL21H0016,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"8.200,00"
WOL21H0016,NX77RSW***,ADDITIVE ALD RS WHITE,"1.918,80"
WOL21H0017,BTXSCRAPOG,SCRAP TRY OP.GREY,"500,00"
WOL21H0017,NX01RSST65,PVC RESIN SATOMO K-65,"10.000,00"
WOL21H0017,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"5.000,00"
WOL21H0017,NX77IDG***,ADDITIVE ALD ID GREY,"1.843,00"
WOL21H0018,BTXSCRAPWH,SCRAP TRY WHITE,"490,00"
WOL21H0018,BTXSCRATCW,SCRAP TRY TC WHITE,"490,00"
WOL21H0018,BTXSCRPGRB,SCRAP TRY GRADE B,"196,00"
WOL21H0018,NX01RSST65,PVC RESIN SATOMO K-65,"9.800,00"
WOL21H0018,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"7.350,00"
WOL21H0018,NX77R830W*,ADDITIVE ALD R 830 WHITE,"1.970,19"
WOL21H0019,BTXSCRAPWH,SCRAP TRY WHITE,"1.710,00"
WOL21H0019,NX01RSST65,PVC RESIN SATOMO K-65,"17.100,00"
WOL21H0019,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"17.100,00"
WOL21H0019,NX77RSW***,ADDITIVE ALD RS WHITE,"4.001,40"
WOL21H0020,BTXSCRAPWH,SCRAP TRY WHITE,"3.090,00"
WOL21H0020,BTXSCRATCW,SCRAP TRY TC WHITE,"1.030,00"
WOL21H0020,BTXSCRPGRB,SCRAP TRY GRADE B,"412,00"
WOL21H0020,NX01RSST65,PVC RESIN SATOMO K-65,"20.600,00"
WOL21H0020,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"15.450,00"
WOL21H0020,NX77R830W*,ADDITIVE ALD R 830 WHITE,"4.141,42"
WOL21H0021,BTXSCRAPBL,SCRAP TRY BLUE,"915,00"
WOL21H0021,BTXSCRATCB,SCRAP TRY TC BLUE,"915,00"
WOL21H0021,BTXSCRPGRB,SCRAP TRY GRADE B,"366,00"
WOL21H0021,NX01RSST65,PVC RESIN SATOMO K-65,"18.300,00"
WOL21H0021,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"13.725,00"
WOL21H0021,NX77R830B*,ADDITIVE ALD R 830 BLUE,"3.608,76"
WOL21H0022,BTXSCRAPWH,SCRAP TRY WHITE,"2.260,00"
