tanggal,kk,cleaning,fresh,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
01/04/2021,WOL21D0004,FALSE,11706.24,28,26685,326.75,38.4,12547.2,0,590,28.8,0,1500,2.7,38.5,1.85,0
03/04/2021,WOL21D0010,FALSE,11241.89,28,26685,313.75,38.4,12048,0,568,27.8,0,1440.5,2.7,37,1.78,0
04/04/2021,WOL21D0018,FALSE,5199.52,28,26685,145.125,38.4,5572.8,0,262,13.1,0,666.25,2.7,17.7,0.82,0
06/04/2021,WOL21D0028,FALSE,13610.46,28,26685,379.875,38.4,14587.2,0,687,33.45,0,1744,2.7,44.55,2.15,0
07/04/2021,WOL21D0032,FALSE,7072.52,28,26685,197.4375,38.4,7581.6,0,355,17.85,0,906.25,2.7,23.64,1.11,0
08/04/2021,WOL21D0038,FALSE,7634.42,28,26685,213.125,38.4,8184,0,384,18.45,0,978.25,2.7,25.44,1.2,0
09/04/2021,WOL21D0045,FALSE,8998.2,28,26685,251.125,38.4,9643.2,0,455,22.05,0,1153,2.7,29.8,1.42,0
09/04/2021,WOL21D0049,FALSE,6941.8,28,26685,193.75,38.4,7440,0,350,16.45,0,889.5,2.7,23.22,1.01,0
10/04/2021,WOL21D0050,FALSE,6717.43,28,26685,187.5,38.4,7200,0,339,16.1,0,860.75,2.7,22.5,1.06,0
11/04/2021,WOL21D0062,FALSE,3426.03,28,26685,95.625,38.4,3672,0,173,8.25,0,439,2.7,12,0.54,0
12/04/2021,WOL21D0067,FALSE,7909.52,28,26685,220.75,38.4,8476.8,0,400,19.05,0,1013.5,2.7,26.32,1.25,0
14/04/2021,WOL21D0071,FALSE,11706.24,28,26685,327.5,38.4,12576,0,562,28,0,1500,2.7,38.36,1.76,0
13/04/2021,WOQ21D0001,FALSE,382.21,28,27466,0,1,0,0,401,19.95,0,40,2.7,1,0.26,0
15/04/2021,WOL21D0086,FALSE,9755.2,28,26685,259.875,38.4,9979.2,0,471,23,0,750,2.7,30.8,1.47,0
16/04/2021,WOL21D0091,FALSE,3948.92,28,26685,104.375,38.4,4008,0,221,11.15,0,304.2,2.7,12.97,0.69,0
18/04/2021,WOL21D0100,FALSE,13023.19,28,26685,347,38.4,13324.8,0,626,30.9,0,1001.25,2.7,40.8,1.96,0
20/04/2021,WOL21D0110,FALSE,10399.04,28,26685,290.25,38.4,11145.6,0,525,25.2,0,1332.5,2.7,34.28,1.64,0
22/04/2021,WOL21D0118,FALSE,18064.68,28,26685,481.25,38.4,18480,0,911,4,0,1388.85,2.7,56.18,2.73,0
23/04/2021,WOL21D0121,FALSE,1595.95,28,26685,42.5,38.4,1632,0,81.45,1,0,122.7,2.7,5.88,0.25,0
23/04/2021,WOL21D0124,FALSE,7915.37,28,27466,8133.6,1,8133.6,0,365,1,0,609.75,2.7,25.3,1.09,0
25/04/2021,WOL21D0127,FALSE,17892.99,28,26685,476.75,38.4,18307.2,0,899,4,0,1375.65,2.7,55.67,2.7,0
27/04/2021,WOL21D0134,FALSE,23988.04,28,26685,639.125,38.4,24542.4,0,1205.1,6,0,1844.25,2.7,74.28,3.62,0
02/04/2021,WOD21D0005,TRUE,537.5,28,26685,0,38.4,0,0,0,535.87,0,0,2.7,0,0,0
05/04/2021,WOD21D0018,TRUE,322.5,28,26685,0,38.4,0,0,0,321.53,0,0,2.7,0,0,0
01/04/2021,WOL21D0008,FALSE,6136.3,29,26547,177.5,36.8,6532,0,285,15,0,716,2.7,20.51,0.89,0
03/04/2021,WOL21D0011,FALSE,1218.69,29,26547,35.125,36.8,1292.6,0,60,4.2,0,142.2,2.7,4,0.19,0
05/04/2021,WOL21D0023,FALSE,2644.2,29,26547,67.275,36.8,2475.72,0,153,7.5,0,0,2.7,8,0.47,0
06/04/2021,WOL21D0024,FALSE,2735.46,29,26547,70.275,36.8,2586.12,0,135,6,0,0,2.7,8,0.42,0
08/04/2021,WOL21D0027,FALSE,5203.66,29,26547,150,36.8,5520,0,270,12,0,616,2.7,17,0.84,0
09/04/2021,WOL21D0036,FALSE,5558.46,29,26547,150.7875,36.8,5548.98,0,618,30.6,0,658,2.7,17,1.93,0
11/04/2021,WOL21D0041,FALSE,12881.09,29,26547,371.5,36.8,13671.2,0,640,30,0,1503,2.7,41,2.8,0
12/04/2021,WOL21D0047,FALSE,6736.22,29,26547,193.75,36.8,7130,0,353,17,0,786,2.7,22,1.1,0
13/04/2021,WOL21D0053,FALSE,2390.64,29,26547,69.375,36.8,2553,0,107,5.5,0,283,2.7,8,0.33,0
14/04/2021,WOL21D0061,FALSE,10643.85,29,26547,306,36.8,11260.8,0,580,27,0,1260,2.7,34,1.81,0
15/04/2021,WOL21D0068,FALSE,5742.07,29,26547,164.4625,36.8,6052.22,0,325,15.3,0,670,2.7,19,1.01,0
16/04/2021,WOL21D0070,FALSE,4645.08,29,26547,92.8125,36.8,3415.5,0,1675,81,0,542,2.7,11,5.24,0
17/04/2021,WOL21D0076,FALSE,5963.94,29,26547,173,36.8,6366.4,0,270,13.2,0,706,2.7,20,0.84,0
18/04/2021,WOL21D0081,FALSE,3091.79,29,26547,54.125,36.8,1991.8,0,1214,59,0,183,2.7,6,3.8,0
19/04/2021,WOL21D0085,FALSE,942.73,29,26547,25,36.8,920,0,72,2.7,0,55,2.7,3,0.22,0
19/04/2021,WOL21D0088,FALSE,14603.71,29,26547,399.725,36.8,14709.88,0,668,31,0,852,2.7,44,2.08,0
20/04/2021,WOL21D0096,FALSE,3085.29,29,26547,89.4,36.8,3289.92,0,139,6,0,360,2.7,10,0.43,0
20/04/2021,WOL21D0097,FALSE,342.81,29,26547,8.8625,36.8,326.14,0,24,1.6,0,10,2.7,1,0.07,0
20/04/2021,WOL21D0098,FALSE,219.4,29,26547,6.05,36.8,222.64,0,20,1.62,0,25.6,2.7,1,0.06,0
21/04/2021,WOL21D0099,FALSE,342.81,29,26547,7.6875,36.8,282.9,0,66,2.84,0,10,2.7,1,0.2,0
21/04/2021,WOL21D0104,FALSE,2772.9,29,26547,58.525,36.8,2153.72,0,582,28.8,0,0,2.7,7,1.82,0
22/04/2021,WOL21D0106,FALSE,5406.4,29,26547,107.5,36.8,3956,0,1670,83,0,320,2.7,12,5.23,0
23/04/2021,WOL21D0114,FALSE,4679.36,29,26547,129,36.8,4747.2,0,190.1,0,0,273,2.7,15,0.56,0
24/04/2021,WOL21D0123,FALSE,1559.79,29,26547,42.75,36.8,1573.2,0,72.6,0,0,91,2.7,5,0.21,0
25/04/2021,WOL21D0125,FALSE,5399.26,29,26547,148.325,36.8,5458.36,0,237.5,1,0,315,2.7,17,0.71,0
27/04/2021,WOL21D0132,FALSE,22625.46,29,26547,619.5,36.8,22797.6,0,1070,5,0,1320,2.7,69,3.2,0
28/04/2021,WOL21D0144,FALSE,2039.72,29,26547,55.875,36.8,2056.2,0,95,1,0,119,2.7,7,0.28,0
29/04/2021,WOL21D0145,FALSE,7541.82,29,26547,207.25,36.8,7626.8,0,329,2,0,440,2.7,23,0.98,0
29/04/2021,WOL21D0150,FALSE,1645.49,29,26547,43.75,36.8,1610,0,77.4,1,0,48,2.7,5,0.23,0
30/04/2021,WOL21D0151,FALSE,3428.1,29,26547,92.375,36.8,3399.4,0,117,1,0,100,2.7,11,0.35,0
30/04/2021,WOL21D0152,FALSE,12512.57,29,26547,331.25,36.8,12190,0,647,2,0,365,2.7,37,1.93,0
02/04/2021,WOD21D0001,TRUE,537.5,29,26547,0,36.8,0,0,0,535.87,0,0,0,0,0,0
04/04/2021,WOD21D0015,TRUE,537.5,29,26547,0,36.8,0,0,0,535.87,0,0,0,0,0,0
01/04/2021,WOL21D0006,FALSE,10990.21,30,26685,306.75,38.4,11779.2,0,554,27.45,0,1408.25,2.7,36.18,1.74,0
05/04/2021,WOL21D0014,FALSE,18115.41,30,26685,505.625,38.4,19416,0,910,48.35,0,2321.25,2.7,58.97,2.86,0
07/04/2021,WOL21D0029,FALSE,10623.41,30,26685,296.5,38.4,11385.6,0,536,26.55,0,1361.25,2.7,35,1.68,0
08/04/2021,WOL21D0033,FALSE,6046.27,30,26685,168.75,38.4,6480,0,305,15.25,0,774.75,2.7,20.35,0.96,0
09/04/2021,WOL21D0039,FALSE,8235.34,30,26685,229.875,38.4,8827.2,0,414,21.1,0,1055.25,2.7,27.36,1.3,0
10/04/2021,WOL21D0046,FALSE,10149.75,30,26685,249.375,38.4,9576,0,517,25.8,0,0,2.7,29.6,1.62,0
11/04/2021,WOL21D0051,FALSE,6506.37,30,26685,160.4375,38.4,6160.8,0,311,14.75,0,0,2.7,19.4,0.97,0
13/04/2021,WOL21D0060,FALSE,14233.05,30,26685,352,38.4,13516.8,0,641,31.85,0,0,2.7,41.36,2.01,0
14/04/2021,WOL21D0072,FALSE,8611.2,30,26685,213.4375,38.4,8196,0,372,16.95,0,0,2.7,25.48,1.16,0
15/04/2021,WOL21D0078,FALSE,7528.95,30,26685,182.5,38.4,7008,0,474,24,0,0,2.7,21.93,1.49,0
16/04/2021,WOL21D0089,FALSE,6686.55,30,26685,166,38.4,6374.4,0,279,12.8,0,0,2.7,20.04,0.87,0
18/04/2021,WOL21D0090,FALSE,11056.54,30,26685,294.625,38.4,11313.6,0,531,25.7,0,850.05,2.7,34.78,1.66,0
19/04/2021,WOL21D0101,FALSE,6633.54,30,26685,176.75,38.4,6787.2,0,319,15.55,0,510,2.7,21.27,1,0
20/04/2021,WOL21D0115,FALSE,9203.06,30,26685,245.25,38.4,9417.6,0,461,2,0,707.55,2.7,29.12,1.38,0
23/04/2021,WOL21D0121,FALSE,19496.74,30,26685,519.5,38.4,19948.8,0,979,4,0,1498.95,2.7,60.56,2.93,0
26/04/2021,WOL21D0133,FALSE,20423.49,30,26685,544.125,38.4,20894.4,0,1027.25,5,0,1570.2,2.7,63.38,3.08,0
28/04/2021,WOL21D0135,FALSE,19609.9,30,26685,522.4375,38.4,20061.6,0,988,4,0,1507.65,2.7,60.9,2.96,0
29/04/2021,WOL21D0153,FALSE,807.73,30,26685,23.625,38.4,907.2,0,42.53,0,0,144.9,2.7,3.72,0.13,0
03/04/2021,WOD21D0002,TRUE,537.5,30,26685,0,38.4,0,0,0,535.87,0,0,0,0,0,0
