tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
04/01/2021,WOC21A0001,FALSE,FALSE,2136.59,48,29372,2100,1,2100,0,0,36,0,0,3,8,0.3,0
04/01/2021,WOC21A0002,FALSE,FALSE,5001.02,48,29372,4925,1,4925,0,0,74.5,0,0,3,20,2,0
05/01/2021,WOC21A0003,FALSE,FALSE,1600.62,48,24698,1575,1,1575,0,0,25,0,0,3,6,1,0
06/01/2021,WOC21A0004,FALSE,FALSE,7084.48,48,29372,7000,1,7000,0,50,32,0,50,3,25,5.3,0
06/01/2021,WOC21A0005,FALSE,FALSE,12207.75,46,24698,12050,1,12050,0,100,54,0,100,3,45,4,0
07/01/2021,WOC21A0007,FALSE,FALSE,10272.1,48,24698,10200,1,10200,0,0,69,0,0,3,37,2,0
07/01/2021,WOC21A0008,FALSE,FALSE,3553.24,46,24698,3500,1,3500,0,0,52,0,0,3,13,0.3,0
08/01/2021,WOC21A0006,FALSE,FALSE,7091.77,46,24698,7050,1,7050,0,0,40,0,0,3,24.5,1.5,0
08/01/2021,WOC21A0010,FALSE,FALSE,6992.08,48,24698,6975,1,6975,0,0,15,0,0,3,26,1.3,0
11/01/2021,WOC21A0011,FALSE,FALSE,1250.83,48,29372,1225,1,1225,0,0,25.5,0,0,3,5,2,0
11/01/2021,WOC21A0012,FALSE,FALSE,1096.37,48,29372,1075,1,1075,0,0,21,0,0,3,4,0.3,0
11/01/2021,WOC21A0013,FALSE,FALSE,5281.27,48,24698,5175,1,5175,0,100,4.5,0,100,3,19,1,1
12/01/2021,WOC21A0014,FALSE,FALSE,487.92,48,24698,470,1,470,0,0,17.7,0,0,3,1.8,0.2,0
12/01/2021,WOC21A0015,FALSE,FALSE,495.93,48,24698,480,1,480,0,0,15.8,0,0,3,2,0.3,0
12/01/2021,WOC21A0016,FALSE,FALSE,2136.59,48,29372,2075,1,2075,0,0,61,0,0,3,8,0.3,0
13/01/2021,WOC21A0009,FALSE,FALSE,7055.52,46,24698,6975,1,6975,0,0,78,0,0,3,29,5,1
13/01/2021,WOC21A0017,FALSE,FALSE,5043.49,48,24698,5025,1,5025,0,0,17,0,0,3,20,2,2
14/01/2021,WOC21A0018,FALSE,FALSE,5087.11,48,24698,5000,1,5000,0,0,85,0,0,3,19,1,0
14/01/2021,WOC21A0019,FALSE,FALSE,972.9,46,29372,950,1,950,0,0,22.5,0,0,3,3.3,1,0
15/01/2021,WOC21A0020,FALSE,FALSE,6045.72,48,29372,5975,1,5975,0,0,69,0,0,3,23,1,0
15/01/2021,WOC21A0023,FALSE,FALSE,5074.16,48,24698,5050,1,5050,0,0,22,0,0,3,19,1,0
18/01/2021,WOC21A0022,FALSE,FALSE,2685.99,48,29372,2625,1,2625,0,0,60,0,0,3,11,1,1
18/01/2021,WOC21A0024,FALSE,FALSE,10148.4,46,24698,10015,1,10015,0,50,80,0,50,3,37,2.3,0
19/01/2021,WOC21A0025,FALSE,FALSE,1661.41,46,24698,1650,1,1650,0,0,10.9,0,0,3,6,0.3,0
19/01/2021,WOC21A0021,FALSE,FALSE,2063.23,48,24698,2050,1,2050,0,0,12.5,0,0,3,7,2.3,0
19/01/2021,WOC21A0027,FALSE,FALSE,1553.15,48,29372,1550,1,1550,0,0,2.5,0,0,3,6,0.3,0
19/01/2021,WOC21A0028,FALSE,FALSE,5628.75,46,29372,5600,1,5600,0,0,27,0,0,3,19,0.3,0
19/01/2021,WOC21A0029,FALSE,FALSE,1012.69,48,29372,1000,1,1000,0,0,12.4,0,0,3,4,0.2,0
20/01/2021,WOC21A0026,FALSE,FALSE,5077.84,46,24698,5000,1,5000,0,0,76,0,0,3,18,2,0
