id,tanggal,shift,kombinasi,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,warna,panjang
1,11/06/2021,1,443581,WOL21F0039,FALSE,FALSE,0,31,25384,39,57.6,2246.4,0,0,0,0,0,3,8,0,0,blue op,12
2,11/06/2021,1,443581,WOL21F0039,FALSE,FALSE,0,31,25330,20,28.8,576,0,0,0,0,0,3,0,0,0,blue op,6
3,11/06/2021,2,443582,WOL21F0039,FALSE,FALSE,0,31,25330,70,28.8,2016,0,484,0,0,0,3,8,0,0,blue op,6
4,11/06/2021,3,443583,WOL21F0039,FALSE,FALSE,0,31,25330,51,28.8,1468.8,0,290,0,0,0,3,8,0,0,blue op,6
5,11/06/2021,3,443583,WOL21F0039,FALSE,FALSE,0,31,25671,40,19.2,768,0,0,0,0,0,3,0,0,0,blue op,4
6,12/06/2021,1,443591,WOL21F0034,FALSE,FALSE,0,31,25307,54,19.2,1036.8,0,200,0,0,0,3,3.570247934,0,0,blue op,4
7,12/06/2021,1,443591,WOL21F0039,FALSE,FALSE,0,31,25330,6,28.8,172.8,0,0,0,0,0,3,0.595041322,0,0,blue op,6
8,12/06/2021,1,443591,WOL21F0043,FALSE,FALSE,0,31,25307,58,19.2,1113.6,0,0,0,0,0,3,3.834710744,0,0,blue op,4
9,12/06/2021,2,443592,WOL21F0039,FALSE,FALSE,0,31,25330,6,28.8,172.8,0,0,0,0,0,3,0.545454545,0,0,blue op,6
10,12/06/2021,2,443592,WOL21F0043,FALSE,FALSE,0,31,25330,82,28.8,2361.6,0,0,0,0,0,3,7.454545455,0,0,blue op,6
11,12/06/2021,3,443593,WOL21F0043,FALSE,FALSE,0,31,25330,26,28.8,748.8,0,0,0,0,0,3,8,0,0,blue op,6
12,12/06/2021,3,443593,WOL21F0043,FALSE,FALSE,0,31,25318,19,24,456,0,0,0,0,0,3,0,0,0,blue op,5
13,12/06/2021,3,443593,WOL21F0043,FALSE,FALSE,0,31,25312,62,21.6,1339.2,0,0,0,0,0,3,0,0,0,blue op,4.5
14,13/06/2021,1,443601,WOL21F0043,FALSE,FALSE,0,31,25341,36,33.6,1209.6,0,0,0,0,0,3,8,0,0,blue op,7
15,13/06/2021,1,443601,WOL21F0043,FALSE,FALSE,0,31,25312,18,21.6,388.8,0,0,0,0,0,3,0,0,0,blue op,4.5
16,13/06/2021,1,443601,WOL21F0043,FALSE,FALSE,0,31,25307,48,19.2,921.6,0,0,0,0,0,3,0,0,0,blue op,4
17,13/06/2021,2,443602,WOL21F0043,FALSE,FALSE,0,31,25341,59,33.6,1982.4,0,50,0,0,0,3,6.84057971,0,0,blue op,7
18,13/06/2021,2,443602,WOL21F0046,FALSE,FALSE,0,31,25555,10,33.6,336,0,150,0,0,0,3,1.15942029,0,0,white op,7
19,13/06/2021,3,443603,WOL21F0046,FALSE,FALSE,0,31,25555,60,33.6,2016,0,0,0,0,0,3,8,0,0,white op,7
20,13/06/2021,3,443603,WOL21F0046,FALSE,FALSE,0,31,25549,17,31.2,530.4,0,0,0,0,0,3,0,0,0,white op,6.5
21,14/06/2021,1,443611,WOL21F0046,FALSE,FALSE,0,31,25549,66,31.2,2059.2,0,320,0,0,0,3,8,0,0,white op,6.5
22,14/06/2021,2,443612,WOL21F0046,FALSE,FALSE,0,31,25549,17,31.2,530.4,0,0,0,0,0,3,8,0,0,white op,6.5
23,14/06/2021,2,443612,WOL21F0046,FALSE,FALSE,0,31,25539,54,28.8,1555.2,0,0,0,0,0,3,0,0,0,white op,6
24,14/06/2021,2,443612,WOL21F0046,FALSE,FALSE,0,31,25513,20,21.6,432,0,0,0,0,0,3,0,0,0,white op,4.5
25,14/06/2021,3,443613,WOL21F0046,FALSE,FALSE,0,31,25539,46,28.8,1324.8,0,250,0,0,0,3,4.329411765,0,0,white op,6
