tanggal,kk,cleaning,trial,fresh,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
02/05/2021,WO1.210230,FALSE,FALSE,0,25,29048,371.3592233,0.206,76.5,0,524.7,1.5,0,0,3,0.38,3.17,8.83
03/05/2021,WO1.210230,FALSE,FALSE,0,25,29048,1662.135922,0.206,342.4,0,101.9,0.3,0,0,3,1.28,0.07,0
15/02/2021,WO3.210011,FALSE,TRUE,0,25,17390,11.85661765,2.176,25.8,0,300.7,0,0,0,3,0.14,0.85,0
09/05/2021,WO1.210236,FALSE,FALSE,0,25,17390,369.1176471,2.176,803.2,0,59,0,0,0,3,4.23,0.12,0
19/04/2021,WO3.210032,FALSE,TRUE,0,25,29076,12.82527881,0.538,6.9,0,313.2,0,0,0,3,0.03,2.73,0
19/04/2021,WO3.210032,FALSE,TRUE,0,25,29076,12.82527881,0.538,6.9,0,2,0,0,0,3,0.03,0.05,0
05/03/2021,WO1.210120,FALSE,FALSE,0,25,15905,2000,0.2672,534.4,0,24.7,0,0,0,3,2,0,0
27/03/2021,WO1.210176,FALSE,FALSE,0,25,20861,889.1195694,1.3005,1156.3,0,195,0.7,0,0,3,4.33,0.05,0
06/05/2021,WO1.210237,FALSE,FALSE,0,25,12433,200.2469136,0.81,162.2,0,63.6,0,0,0,3,0.69,0.81,0
27/02/2021,WO1.210110,FALSE,FALSE,0,25,22082,3313.603323,0.7704,2552.8,0,771.8,0.6,0,0,3,9.99,2.91,0
05/05/2021,WO1.210234,FALSE,FALSE,0,25,22082,32.96988577,0.7704,25.4,0,274.6,0,0,0,3,0.09,0.9,0
05/05/2021,WO1.210233,FALSE,FALSE,0,25,29163,5257.900897,0.2563,1347.6,0,427.5,0.5,0,0,3,5.09,2.91,0
27/02/2021,WO1.210110,FALSE,FALSE,0,25,29251,550.2492684,1.678512,923.6,0,51.2,0,0,0,3,3.61,0,0
12/01/2021,WO1.210007,FALSE,FALSE,0,25,10524,115.1960784,1.3056,150.4,0,114,0.2,0,0,3,0.797,0,0
07/01/2021,WO1.210004,FALSE,FALSE,0,25,12237,2583.847702,0.284653,735.5,0,236.9,0.8,0,0,3,2.667857143,1.255,0
07/05/2021,WO1.210236,FALSE,FALSE,0,25,11150,0,0.912,0,0,420.6,1,0,0,3,0,3.3,0
09/05/2021,WO1.210236,FALSE,FALSE,0,25,11150,109.6491228,0.912,100,0,495.2,0,0,0,3,0.53,3.23,0
09/05/2021,WO1.210236,FALSE,FALSE,0,25,11418,54.18356063,1.0852,58.8,0,4.7,0,0,0,3,0.32,0,0
10/03/2021,WO1.210142,FALSE,FALSE,0,25,11590,773.040293,4.095,3165.6,0,501,4.9,0,0,3,12.2,3.23,0
10/03/2021,WO1.210142,FALSE,FALSE,0,25,12433,1029.506173,0.81,833.9,0,658.6,0.5,0,0,3,3.81,3.18,0
12/01/2021,WO1.210007,FALSE,FALSE,0,25,10485,51.38305322,1.1424,58.7,0,311.3,0,0,0,3,0.3365,1,5.866666667
04/05/2021,WO1.210233,FALSE,FALSE,0,25,29166,1998.021108,0.3032,605.8,0,515.2,0.3,0,0,3,2.17,2.83,0
04/04/2021,WO1.210191,FALSE,FALSE,0,25,15082,1208.938547,0.179,216.4,0,10.9,0,0,0,3,0.76,0,0
09/01/2021,WO3.210001,FALSE,TRUE,0,25,12432,19.50235373,0.7435,14.5,0,83,0,0,0,3,0.111666667,0,0
11/01/2021,WO1.210007,FALSE,FALSE,0,25,10485,0,1.1424,0,0,468,2,0,0,3,0,2,0
17/02/2021,WO1.210092,FALSE,FALSE,0,25,12589,817.8888889,0.9,736.1,0,542.1,0.2,0,0,3,3.43,1.7,0
10/01/2021,WO1.210005,FALSE,FALSE,0,25,12618,2575.555556,0.18,463.6,0,18.3,0,0,0,3,1.721071429,0,0
30/03/2021,WO1.210182,FALSE,FALSE,0,25,18470,217.4268432,1.2234,266,0,597.2,0,0,0,3,0.87,0.83,1.4
31/05/2021,WO1.210263,FALSE,FALSE,0,25,10552,3851.012425,0.8692,3347.3,0,902.5,0.8,0,0,3,15.86,3.61,1.62
17/04/2021,WO1.210214,FALSE,FALSE,0,25,21990,1205.41873,1.149642,1385.8,0,458.5,0,0,0,3,5.3,0.28,0
30/05/2021,WO1.210263,FALSE,FALSE,0,25,10552,196.0423378,0.8692,170.4,0,159.6,0.4,0,0,3,0.78,0.55,0
01/04/2021,WO1.210189,FALSE,FALSE,0,25,28790,11857.51813,0.298452,3538.9,0,1098.1,1.3,0,0,3,13.32,6.35,0
09/01/2021,WO3.210001,FALSE,TRUE,0,25,12432,19.63685272,0.7435,14.6,0,83,0,0,0,3,0.112,0,0
