tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
11/01/2021,WOK21A0001,TRUE,FALSE,229,44,25103,0,2.16,0,0,0,228.9,0,0,3,0,0,0
11/01/2021,WOR21A0001,FALSE,FALSE,13212.89,45,25103,5830,2.16,12592.8,0,500,116,0,500,3,50,2,1
11/01/2021,WOR21A0002,FALSE,FALSE,2714.69,44,25108,150,17.205,2580.75,0,100,33,0,100,3,12,1,0
11/01/2021,WOR21A0003,FALSE,FALSE,1084.81,44,25109,50,20.72,1036,0,0,48.5,0,0,3,4,0.3,0
12/01/2021,WOR21A0005,FALSE,FALSE,1270.89,44,25080,50,24,1200,0,0,70.5,0,0,3,4.3,0.3,0
12/01/2021,WOR21A0004,FALSE,FALSE,2079.54,44,25110,100,20,2000,0,0,79,0,0,3,8,1,0
13/01/2021,WOR21A0006,FALSE,FALSE,3186.81,45,25142,150,20,3000,0,160,26,0,160,3,12,2,0
13/01/2021,WOR21A0007,FALSE,FALSE,22300.74,45,25154,14150,1.5,21225,0,1050,20,0,1050,3,77,7,2
14/01/2021,WOR21A0008,FALSE,FALSE,2261.67,44,25071,1000,2.16,2160,0,80,21,0,80,3,9,1,0
15/01/2021,WOR21A0009,FALSE,FALSE,9460.92,44,25123,4285.714286,2.1,9000,0,430,28,0,430,3,35,3,0
18/01/2021,WOR21A0010,FALSE,FALSE,21675.51,44,25103,9576.666667,2.16,20685.6,0,980,4,0,980,3,79,10,0
21/01/2021,WOR21A0011,FALSE,FALSE,17345.02,44,25155,9166.666667,1.8,16500,0,820,20,0,820,3,65,3,1
25/01/2021,WOR21A0012,FALSE,FALSE,11303.9,45,25085,4833.333333,2.16,10440,0,850,10,0,850,3,45,5,8
25/01/2021,WOR21A0013,FALSE,FALSE,7303,45,25087,2250,2.88,6480,0,800,21,0,800,3,26,4,0
25/01/2021,WOR21A0014,FALSE,FALSE,29366.82,44,25103,12916.66667,2.16,27900,0,1450,8,0,1450,3,109,9,0
25/01/2021,WOR21A0015,FALSE,FALSE,25003.86,44,25121,15900,1.5,23850,0,1100,50,0,1100,3,96,3,0
25/01/2021,WOR21A0016,FALSE,FALSE,29283.8,45,25156,13214.28571,2.1,27750,0,1500,25,0,1500,3,113,7,0
25/01/2021,WOR21A0017,FALSE,FALSE,6134.15,44,25181,3500,1.61,5635,0,470,27,0,470,3,28,3,0
25/01/2021,WOP21A0001,FALSE,TRUE,218.87,45,25260,108,1,108,0,0,110.8,0,0,3,0.5,0.2,0
08/02/2021,WOR21B0003,FALSE,FALSE,12825.95,44,25179,9743.801653,1.21,11790,0,1000,32,0,1000,3,60,10,0
11/02/2021,WOR21B0001,FALSE,FALSE,1084.82,44,25109,50,20.72,1036,0,0,48.5,0,0,3,4,0.3,0
11/02/2021,WOR21B0002,FALSE,FALSE,5311.08,44,25142,252,20,5040,0,260,9,0,260,3,21,2,0
15/02/2021,WOR21B0006,FALSE,FALSE,1416.85,44,25080,53,24,1272,0,130,14,0,130,3,5,1,0
15/02/2021,WOR21B0004,FALSE,FALSE,2194.96,44,25110,104,20,2080,0,100,14,0,100,3,8,2,0
15/02/2021,WOR21B0007,FALSE,FALSE,1848.83,44,25142,84,20,1680,0,150,18.3,0,150,3,7,2,0
16/02/2021,WOR21B0008,FALSE,FALSE,924.24,45,25108,50,17.205,860.25,0,0,63.7,0,0,3,3.3,0.3,0
16/02/2021,WOR21B0009,FALSE,FALSE,3683.53,44,25179,2842.809917,1.21,3439.8,0,200,42.5,0,200,3,14,1,0
16/02/2021,WOR21B0010,FALSE,FALSE,13272.07,44,25179,10314.04959,1.21,12480,0,750,38,0,750,3,48,6,0
19/02/2021,WOR21B0012,FALSE,FALSE,346.59,44,25110,15,20,300,0,0,46.5,0,0,3,1.1,0.2,0
19/02/2021,WOR21B0005,FALSE,FALSE,17457.65,44,25154,11100,1.5,16650,0,760,43,0,760,3,64,4.3,0
19/02/2021,WOR21B0011,FALSE,FALSE,1999.71,44,25166,1058.333333,1.8,1905,0,0,94.2,0,0,3,7,1,0
22/02/2021,WOR21B0013,FALSE,FALSE,8447.25,44,25155,4500,1.8,8100,0,320,25,0,320,3,29,1.3,0
23/02/2021,WOR21B0014,FALSE,FALSE,15768.2,45,15161,6738.636364,2.2,14825,0,900,39,0,900,3,72,3,0
23/02/2021,WOR21B0018,FALSE,FALSE,11770.04,44,25103,5220,2.16,11275.2,0,460,31,0,460,3,40,2,0
23/02/2021,WOR21B0015,FALSE,FALSE,21566.38,44,25104,8035.714286,2.52,20250,0,1260,50,0,1260,3,76,4,3
23/02/2021,WOR21B0017,FALSE,FALSE,225.26,45,25130,50,3.66,183,0,0,42.2,0,0,3,0.8,0.2,0
23/02/2021,WOR21B0016,FALSE,FALSE,20967.64,44,25179,16314.04959,1.21,19740,0,1200,21,0,1200,3,95,5,0
08/03/2021,WOR21C0003,FALSE,FALSE,3777.12,44,25080,150,24,3600,0,160,16,0,160,3,13,0.3,0
08/03/2021,WOR21C0002,FALSE,FALSE,2124.54,44,25110,100,20,2000,0,100,24,0,100,3,8,0.3,0
08/03/2021,WOR21C0001,FALSE,FALSE,5314.38,44,25142,250,20,5000,0,300,12,0,300,3,17,2,1
09/03/2021,WOR21C0004,FALSE,FALSE,924.19,44,25108,50,17.205,860.25,0,0,63.7,0,0,3,3,1,0
09/03/2021,WOR21C0006,FALSE,FALSE,6759.03,45,25131,3000,2.16,6480,0,260,16,0,260,3,23,7,2
10/03/2021,WOR21C0007,FALSE,FALSE,5744.13,45,25143,3000,1.8,5400,0,320,22.5,0,320,3,19,0.3,0
12/03/2021,WOR21C0009,FALSE,FALSE,7320.95,45,25123,3285.714286,2.1,6900,0,400,18,0,400,3,24,0.3,0
12/03/2021,WOR21C0010,FALSE,FALSE,18020.8,45,25156,8000,2.1,16800,0,1200,16,0,1200,3,57,6,0
15/03/2021,WOR21C0008,FALSE,FALSE,22141.65,44,25102,11636,1.8,20944.8,0,1180,10,0,1180,3,71,4,0
18/03/2021,WOR21C0011,FALSE,FALSE,29832.96,44,25105,9875,2.88,28440,0,1360,25,0,1360,3,97,2,1
18/03/2021,WOR21C0012,FALSE,FALSE,590.18,45,29409,20,24,480,0,100,10,0,100,3,2,0.3,0
22/03/2021,WOK21C0001,TRUE,FALSE,229,44,29410,0,20,0,0,0,228.8,0,0,3,0,0,0
22/03/2021,WOR21C0013,FALSE,FALSE,462.12,45,29410,20,20,400,0,60,2,0,60,3,1.5,0.3,0
24/03/2021,WOR21C0005,FALSE,FALSE,2453.66,45,25170,1880.578512,1.21,2275.5,0,160,17.5,0,160,3,9,1.3,0
25/03/2021,WOR21C0016,FALSE,FALSE,17682.91,45,25155,9375,1.8,16875,0,800,4,0,800,3,58,1,0
25/03/2021,WOR21C0014,FALSE,FALSE,13606.66,44,25179,10483.47107,1.21,12685,0,900,17,0,900,3,43,2,0
25/03/2021,WOR21C0015,FALSE,FALSE,22417.53,44,25179,17587.60331,1.21,21281,0,1100,30.9,0,1100,3,73,7,0
06/04/2021,WOR21D0002,FALSE,FALSE,2772.84,44,25108,150,17.205,2580.75,0,170,21,0,170,3,9,3,0
06/04/2021,WOR21D0001,FALSE,FALSE,3304.98,44,25109,150,20.72,3108,0,155,41,0,155,3,11,2,0
07/04/2021,WOR21D0003,FALSE,FALSE,3068.78,44,25110,146,20,2920,0,120,28,0,120,3,10.5,2,2
07/04/2021,WOR21D0004,FALSE,FALSE,4274.61,45,25142,201,20,4020,0,240,13,0,240,3,14.2,1,0
08/04/2021,WOR21D0007,FALSE,FALSE,1808.57,45,25080,71,24,1704,0,80,24,0,80,3,6,0.3,0
08/04/2021,WOR21D0005,FALSE,FALSE,944.42,45,25110,44,20,880,0,0,64,0,0,3,3,0.3,0
08/04/2021,WOR21D0006,FALSE,FALSE,1039.97,45,25142,48,20,960,0,0,79,0,0,3,3.5,0.3,0
09/04/2021,WOR21D0008,FALSE,FALSE,16664.51,45,25103,7345,2.16,15865.2,0,795,0,0,795,3,53.8,6,0
13/04/2021,WOR21D0010,FALSE,FALSE,13740.86,45,25127,5827.272727,2.2,12820,0,915,0,0,915,3,43.8,5,1
13/04/2021,WOR21D0009,FALSE,FALSE,14191.38,44,25155,7500,1.8,13500,0,687,0,0,687,3,46,4,1
16/04/2021,WOR21D0011,FALSE,FALSE,13859.49,45,15161,5909.090909,2.2,13000,0,850,0,0,850,3,46,3,0
16/04/2021,WOR21D0012,FALSE,FALSE,14210.18,44,25156,6428.571429,2.1,13500,0,705,0,0,705,3,47,4,1
19/04/2021,WOK21D0001,TRUE,FALSE,125.5,44,25108,0,17.205,0,0,0,125,0,0,3,0,0,0
19/04/2021,WOK21D0002,TRUE,FALSE,125.5,45,25108,0,17.205,0,0,0,125,0,0,3,0,0,0
19/04/2021,WOR21D0013,FALSE,FALSE,924.24,44,25108,50,17.205,860.25,0,0,63,0,0,3,3,0.3,0
19/04/2021,WOR21D0014,FALSE,FALSE,1084.82,44,25109,50,20.72,1036,0,0,48,0,0,3,3.75,0.25,0
19/04/2021,WOR21D0015,FALSE,FALSE,1062.27,44,25110,50,20,1000,0,0,61,0,0,3,3.5,0.32,0
19/04/2021,WOR21D0017,FALSE,FALSE,4550.87,45,25138,1500,2.88,4320,0,228,0,0,228,3,15,3,0
20/04/2021,WOR21D0016,FALSE,FALSE,4249.08,44,25142,200,20,4000,0,247,0,0,247,3,14,0.6,0
22/04/2021,WOR21D0018,FALSE,FALSE,17976.39,45,25103,7833.333333,2.16,16920,0,1050,0,0,1050,3,58,5,1
22/04/2021,WOR21D0019,FALSE,FALSE,25587.01,44,25155,13500,1.8,24300,0,1280,0,0,1280,3,83.5,6,0
23/04/2021,WOR21D0023,FALSE,FALSE,7954.38,45,25085,3450,2.16,7452,0,480,18,0,480,3,25.92,4,2
23/04/2021,WOR21D0024,FALSE,FALSE,5648.4,45,25085,2435,2.16,5259.6,0,386,0,0,386,3,18.5,4,0
23/04/2021,WOR21D0022,FALSE,FALSE,17054.11,44,25103,7500,2.16,16200,0,845,0,0,845,3,55,8,3
23/04/2021,WOR21D0021,FALSE,FALSE,9030.4,44,25122,4750,1.8,8550,0,460,18,0,460,3,29.3,6,0
23/04/2021,WOR21D0020,FALSE,FALSE,13869.72,44,25179,10818.18182,1.21,13090,0,775,0,0,775,3,45,7,2
06/05/2021,WOR21E0001,FALSE,FALSE,8525.62,45,25155,4500,1.8,8100,0,400,23,0,400,3,28,2,0
07/05/2021,WOR21E0002,FALSE,FALSE,18936.88,45,25102,10000,1.8,18000,0,900,32,0,900,3,62,3,0
18/05/2021,WOR21E0003,FALSE,FALSE,29310.47,44,25155,15500,1.8,27900,0,1000,400,0,1000,3,96,6,4
