tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
01/03/2021,WOG21C0003,FALSE,FALSE,1076.08,56,29383,110,8.83,971.3,0,96,5.5,0,96,2,4.5,2,0
01/03/2021,WOG21C0004,FALSE,FALSE,32282.4,51,29376,33892,0.88,29824.96,0,2247,112,0,2247,2,160.2,2.6,1
02/03/2021,WOG21C0006,FALSE,FALSE,12912.96,53,29381,3233.25,3.76,12157.02,0,683,33.6,0,683,2,49.5,2.5,0
04/03/2021,WOG21C0010,FALSE,FALSE,21521.6,50,29377,16928,1.2,20313.6,0,1089,53.4,0,1089,2,109.5,2.7,0.5
09/03/2021,WOG21C0007,FALSE,FALSE,19942.38,54,29382,3500,5.34,18690,0,1135,56.65,0,1135,2,75.8,2.4,0
10/03/2021,WOG21C0013,FALSE,FALSE,8092.56,54,29382,1450,5.34,7743,0,272,52.9,0,272,2,32.2,2.7,0
12/03/2021,WOG21C0014,FALSE,FALSE,16763.16,54,29382,2988,5.34,15955.92,0,721,35.2,0,721,2,90.5,2.7,0.5
12/03/2021,WOG21C0015,FALSE,FALSE,13872.96,56,24984,256,52.15,13350.4,0,458,22.3,0,458,2,73.5,2,2
13/03/2021,WOG21C0017,FALSE,FALSE,4573.34,53,29380,1728,2.58,4458.24,0,97,4.5,0,97,2,18.5,1.8,0.3
16/03/2021,WOG21C0018,FALSE,FALSE,1614.12,52,29379,770,2.04,1570.8,0,35.5,3,0,35.5,2,9.3,2.9,0.3
16/03/2021,WOG21C0020,FALSE,FALSE,3766.28,56,24984,27.55018217,52.15,1436.742,0,2208,110.1,0,2208,2,9.5,2.9,3
17/03/2021,WOG21C0023,FALSE,FALSE,8381.58,56,24943,229,34.32,7859.28,0,474,23,0,474,2,33.5,2.5,2
17/03/2021,WOG21C0025,FALSE,FALSE,8877.66,52,29378,4728.939227,1.81,8559.38,0,278,13.5,0,278,2,47.5,2.5,0
23/03/2021,WOG21C0030,FALSE,FALSE,26591.4,50,29375,40000,0.63,25200,0,1250,60.3,0,1250,2,144.3,2,1
24/03/2021,WOG21C0031,FALSE,FALSE,6349.2,56,24942,302,19.71,5952.42,0,360,18,0,360,2,27,2,0
