tanggal,kk,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,cleaning
08/04/2021,OM/21/0134,2,1255,0,26,0,0,36,0,0,0,3,0,1.17,9.67,FALSE
09/04/2021,OM/21/0134,2,1255,0,26,0,0,1600,50,0,300,3,0,9.17,4,FALSE
10/04/2021,OM/21/0134,2,1255,22,26.5,583,0,497,165,7,360,3,2,2.67,7,FALSE
11/04/2021,OM/21/0134,2,1255,239,27.06695,6469,0,618,3,88,1790,3,21.67,1.33,1,FALSE
12/04/2021,OM/21/0134,2,1255,128,26.42188,3382,0,2189,0,63,1355,3,13,4.5,0.83,FALSE
29/04/2021,OM/21/0161,2,1255,52,30.48077,1585,0,1155,25,17,665,3,6.5,4,3.25,FALSE
14/04/2021,OM/21/0148,2,1255,20,26.55,531,0,0,0,6,66,3,1.5,0,0,FALSE
15/04/2021,OM/21/0148,2,1255,275,26.54909,7301,0,530,16,75,2300,3,21.83,1.58,0,FALSE
16/04/2021,OM/21/0148,2,1255,190,26.32632,5002,0,2279,0,62,1840,3,18.5,4.67,0,FALSE
17/04/2021,OM/21/0148,2,1255,16,26.375,422,0,233,0,5,260,3,1.5,0.5,0,FALSE
12/04/2021,OM/21/0123,2,1255,42,26.57143,1116,0,320,0,11,150,3,3.5,1.17,0,FALSE
13/04/2021,OM/21/0123,2,1255,136,26.58824,3616,0,2359,0,45,1450,3,15.25,3.75,2.5,FALSE
14/04/2021,OM/21/0123,2,1255,254,26.42126,6711,0,407,0,90,1904,3,21,0.75,0.33,FALSE
09/03/2021,OM/21/0101,2,1255,152,28.25,4294,0,1353,0,42,1580,3,14.08,2.83,0,FALSE
10/03/2021,OM/21/0101,2,1255,48,26.08333,1252,0,1855,0,13,750,3,9.17,3.83,2,FALSE
12/01/2021,OM/21/016,2,1255,4,26.25,105,0,700,0,1,350,3,0.42,2,0,FALSE
13/01/2021,OM/21/016,2,1255,198,26.30808,5209,0,1830,0,55,1950,3,18.58,4.42,1,FALSE
14/01/2021,OM/21/016,2,1255,98,26.59184,2606,0,795,0,26,941,3,9,3.33,0,FALSE
21/02/2021,OM/21/076,2,1255,2,27,54,0,90,0,1,110,3,0.5,0.67,0,FALSE
22/02/2021,OM/21/076,2,1255,224,26.66518,5973,0,878,0,69,1410,3,19.25,3,1,FALSE
23/02/2021,OM/21/076,2,1255,26,26.34615,685,0,172,0,8,160,3,2,0.5,0,FALSE
08/01/2021,OM/21/08,5,1275,270.23,5.19932,1405,0,195,0,97,395,3,9.5,1.5,0,FALSE
09/01/2021,OM/21/08,5,1275,88.28,5.19932,459,0,176,0,30,55,3,4.67,0.67,0,FALSE
25/04/2021,OM/21/0172,5,1255,98,26.35714,2583,0,205,0,23,830,3,440,40,0,FALSE
14/01/2021,OM/21/017,2,1255,82,26.58537,2180,0,1114,0,26,1317.5,5,7.92,3.75,0,FALSE
15/01/2021,OM/21/017,2,1255,205,26.29756,5391,0,1089,0,80,2482.5,5,20.5,3.5,0,FALSE
16/01/2021,OM/21/017,2,1255,99,26.29293,2603,0,244,0,39,1525,5,9.33,1,0,FALSE
23/02/2021,OM/21/077,2,1255,188,26.36702,4957,0,744,0,55,1350,3,16.75,1.75,2.5,FALSE
24/02/2021,OM/21/077,2,1255,163,26.34969,4295,0,357,0,49,1200,3,14.17,0.83,0,FALSE
07/01/2021,OM/21/07,5,1275,195.6,5.19932,1017,0,225,0,78,300,3,6.5,1.5,0,FALSE
08/01/2021,OM/21/07,5,1275,287.15,5.19932,1493,0,635,0,109,325,3,12,1,0,FALSE
31/01/2021,OM/21/045,5,1275,261.38,5.19932,1359,0,934,0,83,400,3,13.08,1.75,0.83,FALSE
01/02/2021,OM/21/045,5,1275,506.22,5.19932,2632,0,1171,0,144,640,3,21.42,2.08,0.5,FALSE
02/02/2021,OM/21/045,5,1275,650.66,5.19932,3383,0,244,0,193,720,3,22.75,1.25,0,FALSE
03/02/2021,OM/21/045,5,1275,52.31,5.19932,272,0,0,0,14,100,3,2.5,0,0,FALSE
08/04/2021,OM/21/0134,5,1255,118,26.26271,3099,0,614,0,42,900,3,8.92,1.75,0,FALSE
09/04/2021,OM/21/0134,5,1255,33,26.21212,865,0,5,0,10,70,3,3,0,0,FALSE
24/04/2021,OM/21/0171,5,1255,48,26.1875,1257,0,1699,0,17,1560,3,430,150,70,FALSE
25/04/2021,OM/21/0171,5,1255,152,26.28289,3995,0,741,0,54,1050,3,815,115,0,FALSE
21/03/2021,OM/21/0117,5,1255,71,26.43662,1877,0,350,0,23,680,3,5.08,1.42,0,FALSE
22/03/2021,OM/21/0117,5,1255,231,26.47186,6115,0,92,0,75,1670,3,18.5,0.5,0,FALSE
10/01/2021,OM/21/012,3,1255,388,26,10088,0,542,0,222,0,3,22.25,1.42,0,FALSE
11/01/2021,OM/21/012,3,1255,310,26.79355,8306,0,21,0,181,0,3,18.75,0.25,0,FALSE
15/02/2021,OM/21/067,3,1255,300,26.39333,7918,0,656,0,173,0,3,16.08,4.75,0,FALSE
16/02/2021,OM/21/067,3,1255,203,26.95567,5472,0,330,0,66,0,3,11,0.83,0,FALSE
18/02/2021,OM/21/069,3,1255,384,26.63021,10226,0,716,0,146,0,3,18.5,1.83,0,FALSE
19/02/2021,OM/21/069,3,1255,117,26,3042,0,182,0,39,0,3,6.25,0.33,0,FALSE
18/03/2021,OM/21/0107,3,1255,112,25.35714,2840,0,804,0,62,0,3,6.67,1.5,0,FALSE
19/03/2021,OM/21/0107,3,1255,173,26.20809,4534,0,182,0,50,0,3,9.42,0.58,0,FALSE
21/03/2021,OM/21/0107,3,1255,111,34,3774,0,480,0,52,0,3,8.5,0.75,0,FALSE
22/03/2021,OM/21/0107,3,1255,356,26.67135,9495,0,1299,0,147,0,3,20.17,3,0.83,FALSE
23/03/2021,OM/21/0107,3,1255,232,25.08621,5820,0,360,0,80,0,3,11.92,1.33,0,FALSE
28/03/2021,OM/21/0125,3,1255,204,26.79902,5467,0,1588,0,75,0,3,13,4.17,1,FALSE
05/04/2021,OM/21/0137,3,1255,15,59.73333,896,0,66,0,62,0,3,2,0.17,0,FALSE
06/04/2021,OM/21/0137,3,1255,460,25.21739,11600,0,252,0,127,0,3,23.5,0.5,0,FALSE
07/04/2021,OM/21/0137,3,1255,411,26.62287,10942,0,692,0,157,0,3,22,1.8,0.2,FALSE
08/04/2021,OM/21/0137,3,1255,114,26.29825,2998,0,266,0,46,0,3,6.83,0.5,0,FALSE
02/01/2021,OM/21/06,5,1275,0,5.19932,0,0,0,0,0,0,3,0,0,8,FALSE
03/01/2021,OM/21/06,5,1275,0,5.19932,0,0,0,0,0,0,3,0,0,8,FALSE
04/01/2021,OM/21/06,5,1275,0,5.19932,0,0,0,0,0,0,3,0,0,8,FALSE
05/01/2021,OM/21/06,5,1275,0,5.19932,0,0,180,0,0,25,3,0,0.33,6.5,FALSE
06/01/2021,OM/21/06,5,1275,40.97,5.19932,213,0,2412,0,15,540,3,2.83,12.42,2.58,FALSE
